trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success,states_visited,zCount
171,False,"{'a': 0.5, 'e': 0.6751}",25,10,-42.10016704368032,"{0: 10, 1: 2, 2: 1, 3: 2, 4: 0}",1,94,34
172,False,"{'a': 0.5, 'e': 0.6712888888888888}",30,12,-57.45757374917769,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 2}",1,94,34
173,False,"{'a': 0.5, 'e': 0.6674555555555555}",25,0,-56.38639632251977,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0,94,34
174,False,"{'a': 0.5, 'e': 0.6636}",25,0,-15.516580269487465,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0,94,34
175,False,"{'a': 0.5, 'e': 0.6597222222222222}",25,0,-53.8295983104396,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0,94,33
176,False,"{'a': 0.5, 'e': 0.6558222222222222}",35,0,-158.89020824294042,"{0: 21, 1: 3, 2: 7, 3: 3, 4: 1}",0,94,33
177,False,"{'a': 0.5, 'e': 0.6518999999999999}",35,0,-54.67565973482401,"{0: 24, 1: 5, 2: 6, 3: 0, 4: 0}",0,94,33
178,False,"{'a': 0.5, 'e': 0.6479555555555556}",20,0,-73.30294201079084,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0,94,33
179,False,"{'a': 0.5, 'e': 0.6439888888888889}",20,8,-29.950356391252623,"{0: 9, 1: 1, 2: 0, 3: 2, 4: 0}",1,94,33
180,False,"{'a': 0.5, 'e': 0.6399999999999999}",20,13,4.568074800812876,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1,94,33
181,False,"{'a': 0.5, 'e': 0.6359888888888889}",25,14,-41.70478412129843,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1,94,33
182,False,"{'a': 0.5, 'e': 0.6319555555555556}",20,0,-40.169730446554574,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0,94,33
183,False,"{'a': 0.5, 'e': 0.6278999999999999}",20,0,-66.70107018788586,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0,94,32
184,False,"{'a': 0.5, 'e': 0.6238222222222223}",25,11,-5.930565976778315,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1,94,32
185,False,"{'a': 0.5, 'e': 0.6197222222222223}",20,0,-71.20700529897873,"{0: 14, 1: 0, 2: 3, 3: 3, 4: 0}",0,94,32
186,False,"{'a': 0.5, 'e': 0.6155999999999999}",20,0,-7.947122548563259,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0,94,31
